date,open,high,low,close,volume,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
20191202,50900,51300,50400,50400,18877252,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191203,49800,50300,49500,49900,12059812,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191204,49600,49850,49000,49450,13246549,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191205,50200,50400,49500,49500,10449715,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191206,50100,50900,49950,50400,11414563,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191209,50900,51400,50700,51200,8470627,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191210,51000,51600,50700,51500,6882771,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191211,51500,52200,51400,51900,11379521,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191212,53000,53300,52700,53300,29178697,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191213,54500,54800,53900,54700,18120261,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191216,54500,54900,54300,54700,11512405,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191217,55800,56700,55400,56700,19358433,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191218,56700,57200,56000,56300,15558208,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191219,57000,57300,55500,56000,14180520,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191220,56100,56500,55600,56000,12095519,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191223,56100,56400,55100,55500,9839252,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191224,55600,55700,54800,55000,11868463,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191226,54700,55400,54400,55400,9645034,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191227,55700,56900,55500,56500,12313056,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20191230,56200,56600,55700,55800,8356767,8.44,6.24,3602,42701,373798.8,47550.19,36156.36,1416.0,34.0,453829.0,-399483.0,-94845.0
20200102,55500,56000,55000,55200,12993228,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200103,56000,56600,54900,55500,15422255,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200106,54900,55600,54600,55500,10278951,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200107,55700,56400,55600,55800,10009778,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200108,56200,57400,55900,56800,23501171,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200109,58400,58600,57400,58600,24102579,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200110,58800,59700,58300,59500,16000170,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200113,59600,60000,59100,60000,11359139,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200114,60400,61000,59900,60000,16906295,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200115,59500,59600,58900,59000,14300928,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200116,59100,60700,59000,60700,14381774,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200117,61900,62000,61000,61300,16025661,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200120,62000,62800,61700,62400,12528855,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200121,62000,62400,61200,61400,11142693,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200122,60500,62600,60400,62300,15339565,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200123,61800,61800,60700,60800,14916555,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200128,59400,59400,58300,58800,23664541,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200129,59100,59700,58800,59100,16446102,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200130,58800,58800,56800,57200,20821939,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200131,57800,58400,56400,56400,19749457,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200203,55500,57400,55200,57200,23995260,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200204,57100,59000,56800,58900,21800192,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200205,60000,60200,58900,59500,19278165,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200206,60100,61100,59700,61100,14727159,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200207,61100,61200,59700,60400,16402493,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200210,59200,59800,59100,59700,13107121,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200211,59800,60700,59700,59900,11071231,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200212,60300,60700,59700,60500,12904207,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200213,61200,61600,60500,60700,18449775,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200214,60900,61900,60200,61800,13276067,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200217,61600,62000,61200,61500,8740596,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200218,60800,60900,59700,59800,16674266,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200219,59800,60400,59400,60200,12951496,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200220,60700,61300,59600,60000,14591924,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200221,58800,59800,58500,59200,13777393,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200224,57400,58100,56800,56800,25627537,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200225,56200,58000,56200,57900,23885408,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200226,56000,57000,56000,56500,25483102,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200227,56300,56900,55500,55900,23209541,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200228,55000,55500,54200,54200,30054227,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200302,54300,55500,53600,55000,30403412,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200303,56700,56900,55100,55400,30330295,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200304,54800,57600,54600,57400,24765728,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200305,57600,58000,56700,57800,21698990,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200306,56500,57200,56200,56500,18716656,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200309,54700,55000,53600,54200,30261485,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200310,53800,54900,53700,54600,32106554,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200311,54300,54400,52000,52100,45707281,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200312,51000,51900,49300,50800,48149999,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200313,47450,51600,46850,49950,59462933,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200316,50100,50900,48800,48900,33339821,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200317,46900,49650,46700,47300,51218151,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200318,47750,48350,45600,45600,40152623,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200319,46400,46650,42300,42950,56925513,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200320,44150,45500,43550,45400,49730008,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200323,42600,43550,42400,42500,41701626,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200324,43850,46950,43050,46950,49801908,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200325,48950,49600,47150,48650,52735922,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200326,49000,49300,47700,47800,42185129,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200327,49600,49700,46850,48300,39896178,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200330,47050,48350,46550,47850,26797395,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200331,48000,48500,47150,47750,30654261,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200401,47450,47900,45800,45800,27259532,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200402,46200,46850,45350,46800,21621076,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200403,47400,47600,46550,47000,22784682,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200406,47500,48800,47250,48700,23395726,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200407,49650,50200,49000,49600,31524034,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200408,49600,49750,48600,48600,25010314,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200409,49750,49800,48700,49100,22628058,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200410,48950,49250,48650,49250,17839111,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200413,48650,48900,48300,48300,14431800,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200414,48800,49200,48300,49000,14206216,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200416,49350,49350,48550,49000,23349760,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200417,50800,52000,50300,51400,32041675,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200420,51400,51400,50000,50100,21866354,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200421,49400,49700,48700,49250,27407543,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200422,48700,50000,48350,49850,18613864,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200423,50200,50300,49500,49850,18754442,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200424,49650,49750,49000,49350,15618347,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200427,49350,50000,49100,49850,14049471,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200428,49850,50100,49300,50100,16095399,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200429,49900,50500,49600,50000,15604533,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200504,48900,49100,48500,48500,26083749,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200506,49000,49200,48500,49200,18070225,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200507,49200,49300,48700,48800,13884411,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200508,49100,49350,48800,48800,15319700,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200511,48900,49250,48300,48400,16357743,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200512,48400,48500,47550,47900,23433590,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200513,47250,48550,47200,48550,20223277,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200514,47750,48100,47650,48000,19305974,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200515,48400,48450,47700,47850,18463118,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200518,47950,49100,47600,48800,20481981,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200519,50100,50500,49700,50300,25168295,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200520,50000,50200,49800,50000,14896899,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200521,50300,50400,49850,49950,14949266,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200522,49600,49800,48600,48750,19706284,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200525,48750,48900,48450,48850,14337913,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200526,48700,49450,48600,49250,15127490,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200527,48950,50000,48800,49900,19548479,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200528,51100,51200,49900,50400,31309318,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200529,50000,50700,49700,50700,27596961,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200601,50800,51200,50600,51200,16949183,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200602,51000,51500,50800,51400,14247933,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200603,51800,55000,51700,54500,49257814,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200604,55800,57000,54600,54600,40220334,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200605,54400,55900,54000,55500,22743629,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200608,56400,56500,54700,54900,25634965,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200609,55800,56500,54400,55500,23998831,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200610,55100,55900,54900,55400,16742493,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200611,54500,55100,53200,54300,33815123,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200612,52100,52800,51500,52300,26976019,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200615,51400,52000,49900,49900,28772921,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200616,51200,52100,50600,52100,21808375,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200617,52100,52900,51300,52200,26672595,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200618,52200,52300,51600,52300,15982926,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200619,52600,52900,51600,52900,18157985,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200622,52000,52600,51800,52000,13801350,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200623,52500,52800,51100,51400,18086152,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200624,51900,53900,51600,52900,24519552,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200625,52100,53000,51900,51900,18541624,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200626,52800,53900,52200,53300,21575360,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200629,52500,53200,52000,52400,17776925,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200630,53900,53900,52800,52800,21157172,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200701,53400,53600,52400,52600,16706143,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200702,52100,52900,52100,52900,14142583,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200703,53000,53600,52700,53600,11887868,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200706,54000,55000,53800,55000,19856623,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200707,55800,55900,53400,53400,30760032,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200708,53600,53900,52900,53000,19664652,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200709,53200,53600,52800,52800,17054850,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200710,53100,53200,52300,52700,13714746,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200713,53300,53800,53100,53400,12240188,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200714,53700,53800,53200,53800,14269484,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200715,54400,55000,54300,54700,24051450,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200716,54800,54800,53800,53800,16779127,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200717,54200,54700,54100,54400,10096174,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200720,54800,54800,54000,54200,10507530,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200721,55200,55400,54800,55300,18297260,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200722,55300,55500,54700,54700,12885057,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200723,54700,54700,53800,54100,16214932,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200724,54000,54400,53700,54200,10994535,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200727,54300,55700,54300,55600,21054421,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200728,57000,58800,56400,58600,48431566,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200729,60300,60400,58600,59000,36476611,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200730,59700,60100,59000,59000,19285354,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200731,59500,59600,57700,57900,21943345,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200803,57800,57900,56700,56800,21158940,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200804,57200,58100,57000,57300,19419694,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200805,57300,57500,56300,56900,17739706,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200806,57100,58400,57100,58000,21625874,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200807,57900,58400,57100,57500,18751717,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200810,57600,58300,57500,57800,17774291,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200811,58000,59500,57800,58200,24907912,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200812,58200,59000,57700,59000,18573934,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200813,59400,59600,58000,58700,22089460,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200814,58000,58400,57700,58000,15672548,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200818,58900,59900,58000,58400,25307825,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200819,59000,59200,57800,57800,16930719,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200820,57600,57600,55300,55400,30386029,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200821,56200,56900,55800,55900,21142288,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200824,55800,56600,55400,56100,15055896,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200825,56400,56800,56100,56400,14021705,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200826,56400,56500,55700,56400,17651593,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200827,56300,56300,55600,55600,16196568,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
20200828,56100,56300,55400,55400,14619888,9.75,7.05,4370,44838,405179.2,58023.07,45167.51,2994.0,37.0,652871.0,-536287.0,-83279.0
